@relation covid_cases

@attribute id numeric
@attribute Date date 'yyyy-MM-dd'
@attribute phu_name {'ALGOMA DISTRICT','BRANT COUNTY','CHATHAM-KENT','CITY OF HAMILTON','CITY OF OTTAWA','DURHAM REGION','EASTERN ONTARIO','GREY BRUCE','HALDIMAND-NORFOLK','HALIBURTON, KAWARTHA, PINE RIDGE','HALTON REGION','HASTINGS & PRINCE EDWARD COUNTIES','HURON PERTH','KINGSTON, FRONTENAC, LENNOX & ADDINGTON','LAMBTON COUNTY','LEEDS, GRENVILLE AND LANARK DISTRICT',MIDDLESEX-LONDON,'NIAGARA REGION','NORTH BAY PARRY SOUND DISTRICT','NORTHWESTERN','OXFORD ELGIN-ST.THOMAS','PEEL REGION','PETERBOROUGH COUNTY-CITY','PORCUPINE','RENFREW COUNTY AND DISTRICT','SIMCOE MUSKOKA DISTRICT','SOUTHWESTERN','SUDBURY AND DISTRICT','THUNDER BAY DISTRICT','TIMISKAMING','TORONTO','UNKNOWN','WATERLOO REGION','WELLINGTON-DUFFERIN-GUELPH','WINDSOR-ESSEX COUNTY','YORK REGION'}
@attribute phu_num numeric
@attribute active_cases numeric
@attribute resolved_cases numeric
@attribute deaths numeric

@data
1,2020-04-01,'ALGOMA DISTRICT',2226,4,1,0
2,2020-04-01,'BRANT COUNTY',2227,10,5,0
3,2020-04-01,'CHATHAM-KENT',2240,6,2,0
4,2020-04-01,'CITY OF HAMILTON',2237,54,48,0
5,2020-04-01,'CITY OF OTTAWA',2251,136,55,0
6,2020-04-01,'DURHAM REGION',2230,94,44,0
7,2020-04-01,'EASTERN ONTARIO',2258,10,8,0
8,2020-04-01,'GREY BRUCE',2233,5,7,0
9,2020-04-01,'HALDIMAND-NORFOLK',2234,22,2,0
10,2020-04-01,'HALIBURTON, KAWARTHA, PINE RIDGE',2235,43,17,0
11,2020-04-01,'HALTON REGION',2236,35,29,0
12,2020-04-01,'HASTINGS & PRINCE EDWARD COUNTIES',2238,5,4,0
13,2020-04-01,'HURON PERTH',5183,8,2,0
14,2020-04-01,'KINGSTON, FRONTENAC, LENNOX & ADDINGTON',2241,39,5,0
15,2020-04-01,'LAMBTON COUNTY',2242,38,5,0
16,2020-04-01,'LEEDS, GRENVILLE AND LANARK DISTRICT',2243,23,2,0
17,2020-04-01,'MIDDLESEX-LONDON',2244,44,11,0
18,2020-04-01,'NIAGARA REGION',2246,28,23,0
19,2020-04-01,'NORTH BAY PARRY SOUND DISTRICT',2247,1,3,0
20,2020-04-01,'NORTHWESTERN',2249,1,2,0
21,2020-04-01,'OXFORD ELGIN-ST.THOMAS',4913,6,3,0
22,2020-04-01,'PEEL REGION',2253,234,54,0
23,2020-04-01,'PETERBOROUGH COUNTY-CITY',2255,22,6,0
24,2020-04-01,'PORCUPINE',2256,10,5,0
25,2020-04-01,'RENFREW COUNTY AND DISTRICT',2257,3,1,0
26,2020-04-01,'SIMCOE MUSKOKA DISTRICT',2260,38,16,0
27,2020-04-01,'SUDBURY AND DISTRICT',2261,6,4,0
28,2020-04-01,'THUNDER BAY DISTRICT',2262,4,0,0
29,2020-04-01,'TIMISKAMING',2263,0,2,0
30,2020-04-01,'TORONTO',3895,430,205,0
31,2020-04-01,'WATERLOO REGION',2265,67,38,0
32,2020-04-01,'WELLINGTON-DUFFERIN-GUELPH',2266,35,7,0
33,2020-04-01,'WINDSOR-ESSEX COUNTY',2268,30,6,0
34,2020-04-01,'YORK REGION',2270,212,67,0
35,2020-04-02,'ALGOMA DISTRICT',2226,4,1,0
36,2020-04-02,'BRANT COUNTY',2227,13,7,0
37,2020-04-02,'CHATHAM-KENT',2240,6,3,0
38,2020-04-02,'CITY OF HAMILTON',2237,62,51,1
39,2020-04-02,'CITY OF OTTAWA',2251,173,75,0
40,2020-04-02,'DURHAM REGION',2230,102,47,6
41,2020-04-02,'EASTERN ONTARIO',2258,10,14,0
42,2020-04-02,'GREY BRUCE',2233,4,9,0
43,2020-04-02,'HALDIMAND-NORFOLK',2234,25,3,4
44,2020-04-02,'HALIBURTON, KAWARTHA, PINE RIDGE',2235,44,18,2
45,2020-04-02,'HALTON REGION',2236,48,29,2
46,2020-04-02,'HASTINGS & PRINCE EDWARD COUNTIES',2238,9,3,1
47,2020-04-02,'HURON PERTH',5183,9,3,1
48,2020-04-02,'KINGSTON, FRONTENAC, LENNOX & ADDINGTON',2241,38,9,0
49,2020-04-02,'LAMBTON COUNTY',2242,40,10,4
50,2020-04-02,'LEEDS, GRENVILLE AND LANARK DISTRICT',2243,27,2,2
51,2020-04-02,'MIDDLESEX-LONDON',2244,60,12,2
52,2020-04-02,'NIAGARA REGION',2246,40,23,3
53,2020-04-02,'NORTH BAY PARRY SOUND DISTRICT',2247,1,3,0
54,2020-04-02,'NORTHWESTERN',2249,2,2,0
55,2020-04-02,'OXFORD ELGIN-ST.THOMAS',4913,6,3,1
56,2020-04-02,'PEEL REGION',2253,274,67,0
57,2020-04-02,'PETERBOROUGH COUNTY-CITY',2255,25,12,0
58,2020-04-02,'PORCUPINE',2256,12,6,0
59,2020-04-02,'RENFREW COUNTY AND DISTRICT',2257,4,2,1
60,2020-04-02,'SIMCOE MUSKOKA DISTRICT',2260,36,21,4
61,2020-04-02,'SUDBURY AND DISTRICT',2261,7,6,0
62,2020-04-02,'THUNDER BAY DISTRICT',2262,4,0,0
63,2020-04-02,'TIMISKAMING',2263,0,2,0
64,2020-04-02,'TORONTO',3895,424,249,10
65,2020-04-02,'WATERLOO REGION',2265,64,46,2
66,2020-04-02,'WELLINGTON-DUFFERIN-GUELPH',2266,38,8,0
67,2020-04-02,'WINDSOR-ESSEX COUNTY',2268,62,8,1
68,2020-04-02,'YORK REGION',2270,236,77,6
69,2020-04-03,'ALGOMA DISTRICT',2226,5,1,0
70,2020-04-03,'BRANT COUNTY',2227,18,16,1
71,2020-04-03,'CHATHAM-KENT',2240,5,4,0
72,2020-04-03,'CITY OF HAMILTON',2237,61,61,2
73,2020-04-03,'CITY OF OTTAWA',2251,186,94,1
74,2020-04-03,'DURHAM REGION',2230,111,56,9
75,2020-04-03,'EASTERN ONTARIO',2258,13,14,0
76,2020-04-03,'GREY BRUCE',2233,6,9,0
77,2020-04-03,'HALDIMAND-NORFOLK',2234,38,4,3
78,2020-04-03,'HALIBURTON, KAWARTHA, PINE RIDGE',2235,42,23,2
79,2020-04-03,'HALTON REGION',2236,51,34,3
80,2020-04-03,'HASTINGS & PRINCE EDWARD COUNTIES',2238,11,4,1
81,2020-04-03,'HURON PERTH',5183,11,4,1
82,2020-04-03,'KINGSTON, FRONTENAC, LENNOX & ADDINGTON',2241,33,15,0
83,2020-04-03,'LAMBTON COUNTY',2242,44,11,5
84,2020-04-03,'LEEDS, GRENVILLE AND LANARK DISTRICT',2243,29,7,2
85,2020-04-03,'MIDDLESEX-LONDON',2244,71,16,3
86,2020-04-03,'NIAGARA REGION',2246,52,29,4
87,2020-04-03,'NORTH BAY PARRY SOUND DISTRICT',2247,1,3,0
88,2020-04-03,'NORTHWESTERN',2249,1,3,0
89,2020-04-03,'OXFORD ELGIN-ST.THOMAS',4913,9,4,2
90,2020-04-03,'PEEL REGION',2253,319,83,0
91,2020-04-03,'PETERBOROUGH COUNTY-CITY',2255,25,15,0
92,2020-04-03,'PORCUPINE',2256,18,6,0
93,2020-04-03,'RENFREW COUNTY AND DISTRICT',2257,4,2,1
