@relation vaccine_by_age_group

@attribute Date date 'yyyy-MM-dd'
@attribute phu_ID numeric
@attribute phu_name {'ALGOMA DISTRICT','BRANT COUNTY','CHATHAM-KENT','CITY OF HAMILTON','CITY OF OTTAWA','DURHAM REGION','EASTERN ONTARIO','GREY BRUCE','HALDIMAND-NORFOLK','HALIBURTON, KAWARTHA, PINE RIDGE','HALTON REGION','HASTINGS & PRINCE EDWARD COUNTIES','HURON PERTH','KINGSTON, FRONTENAC, LENNOX & ADDINGTON','LAMBTON COUNTY','LEEDS, GRENVILLE AND LANARK DISTRICT',MIDDLESEX-LONDON,'NIAGARA REGION','NORTH BAY PARRY SOUND DISTRICT','NORTHWESTERN','OXFORD ELGIN-ST.THOMAS','PEEL REGION','PETERBOROUGH COUNTY-CITY','PORCUPINE','RENFREW COUNTY AND DISTRICT','SIMCOE MUSKOKA DISTRICT','SOUTHWESTERN','SUDBURY AND DISTRICT','THUNDER BAY DISTRICT','TIMISKAMING','TORONTO','UNKNOWN','WATERLOO REGION','WELLINGTON-DUFFERIN-GUELPH','WINDSOR-ESSEX COUNTY','YORK REGION'}
@attribute age_group {'05-11yrs','12-17yrs','18-29yrs','30-39yrs','40-49yrs','50-59yrs','60-69yrs','70-79yrs','80+','Adults_18plus','Ontario_12plus','Ontario_5plus','Undisclosed_or_missing'}
@attribute one_dose_cumulative numeric
@attribute second_dose_cumulative numeric
@attribute fully_vaccinated_cumulative numeric
@attribute total_population numeric
@attribute percent_one_dose numeric
@attribute percent_fully_vac numeric

@data
2021-07-26,2226,'ALGOMA DISTRICT','12-17yrs',3843,1890,0,6504,0.5909,0.2906
2021-07-27,2226,'ALGOMA DISTRICT','12-17yrs',3857,1922,0,6504,0.593,0.2955
2021-07-28,2226,'ALGOMA DISTRICT','12-17yrs',3873,2106,0,6504,0.5955,0.3238
2021-07-29,2226,'ALGOMA DISTRICT','12-17yrs',3897,2162,0,6504,0.5992,0.3324
2021-07-30,2226,'ALGOMA DISTRICT','12-17yrs',3965,2510,0,6504,0.6096,0.3859
2021-07-31,2226,'ALGOMA DISTRICT','12-17yrs',4004,2726,0,6504,0.6156,0.4191
2021-08-01,2226,'ALGOMA DISTRICT','12-17yrs',4043,2927,0,6504,0.6216,0.45
2021-08-02,2226,'ALGOMA DISTRICT','12-17yrs',4043,2928,0,6504,0.6216,0.4502
2021-08-03,2226,'ALGOMA DISTRICT','12-17yrs',4050,2929,0,6504,0.6227,0.4503
2021-08-04,2226,'ALGOMA DISTRICT','12-17yrs',4074,3015,0,6504,0.6264,0.4636
2021-08-05,2226,'ALGOMA DISTRICT','12-17yrs',4090,3037,0,6504,0.6288,0.4669
2021-08-06,2226,'ALGOMA DISTRICT','12-17yrs',4097,3051,0,6504,0.6299,0.4691
2021-08-07,2226,'ALGOMA DISTRICT','12-17yrs',4136,3130,0,6504,0.6359,0.4812
2021-08-08,2226,'ALGOMA DISTRICT','12-17yrs',4137,3133,0,6504,0.6361,0.4817
2021-08-09,2226,'ALGOMA DISTRICT','12-17yrs',4137,3133,0,6504,0.6361,0.4817
2021-08-10,2226,'ALGOMA DISTRICT','12-17yrs',4140,3140,0,6504,0.6365,0.4828
2021-08-11,2226,'ALGOMA DISTRICT','12-17yrs',4180,3248,0,6504,0.6427,0.4994
2021-08-12,2226,'ALGOMA DISTRICT','12-17yrs',4184,3259,0,6504,0.6433,0.5011
2021-08-13,2226,'ALGOMA DISTRICT','12-17yrs',4189,3270,0,6504,0.6441,0.5028
2021-08-14,2226,'ALGOMA DISTRICT','12-17yrs',4191,3283,0,6504,0.6444,0.5048
2021-08-15,2226,'ALGOMA DISTRICT','12-17yrs',4203,3355,0,6504,0.6462,0.5158
2021-08-16,2226,'ALGOMA DISTRICT','12-17yrs',4203,3356,0,6504,0.6462,0.516
2021-08-17,2226,'ALGOMA DISTRICT','12-17yrs',4209,3364,0,6504,0.6471,0.5172
2021-08-18,2226,'ALGOMA DISTRICT','12-17yrs',4242,3429,0,6504,0.6522,0.5272
2021-08-19,2226,'ALGOMA DISTRICT','12-17yrs',4272,3462,0,6504,0.6568,0.5323
2021-08-20,2226,'ALGOMA DISTRICT','12-17yrs',4292,3475,0,6504,0.6599,0.5343
2021-08-21,2226,'ALGOMA DISTRICT','12-17yrs',4334,3509,0,6504,0.6664,0.5395
2021-08-22,2226,'ALGOMA DISTRICT','12-17yrs',4341,3511,0,6504,0.6674,0.5398
2021-08-23,2226,'ALGOMA DISTRICT','12-17yrs',4343,3511,0,6504,0.6677,0.5398
2021-08-24,2226,'ALGOMA DISTRICT','12-17yrs',4376,3534,0,6504,0.6728,0.5434
2021-08-25,2226,'ALGOMA DISTRICT','12-17yrs',4453,3606,0,6504,0.6847,0.5544
2021-08-26,2226,'ALGOMA DISTRICT','12-17yrs',4469,3618,0,6504,0.6871,0.5563
2021-08-27,2226,'ALGOMA DISTRICT','12-17yrs',4491,3648,0,6504,0.6905,0.5609
2021-08-28,2226,'ALGOMA DISTRICT','12-17yrs',4533,3701,0,6504,0.697,0.569
2021-08-29,2226,'ALGOMA DISTRICT','12-17yrs',4539,3705,0,6504,0.6979,0.5696
